model_name,comparison,left_layer,right_layer,fold_label,left_auc,left_f1,left_log_loss,right_auc,right_f1,right_log_loss,diff_auc_right_minus_left,diff_f1_right_minus_left,diff_log_loss_right_minus_left
logistic_regression,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_4,0.4098532494758909,0.4461538461538462,0.7727941831028671,0.420335429769392,0.4626865671641791,0.8100367906514334,0.010482180293501064,0.01653272101033293,0.03724260754856634
logistic_regression,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_5,0.5412698412698412,0.5,0.6941421231746612,0.4658730158730159,0.4220183486238532,0.7691866021317346,-0.07539682539682535,-0.07798165137614682,0.07504447895707345
random_forest,L1_vs_L1_L2,L1,L1_L2,fold_1,0.5669129720853858,0.4807692307692308,0.6896730231220235,0.5686918445539135,0.5263157894736842,0.6859371744124574,0.0017788724685277035,0.0455465587044534,-0.003735848709566114
random_forest,L1_vs_L1_L2,L1,L1_L2,fold_2,0.511563599798894,0.4324324324324324,0.6945441983919409,0.5661136249371542,0.5116279069767442,0.6999063815818116,0.05455002513826024,0.0791954745443118,0.005362183189870695
random_forest,L1_vs_L1_L2,L1,L1_L2,fold_3,0.4759946949602122,0.4273504273504273,0.7033515017193858,0.5710875331564986,0.4727272727272727,0.6855784856540177,0.09509283819628644,0.04537684537684544,-0.017773016065368075
random_forest,L1_vs_L1_L2,L1,L1_L2,fold_4,0.3595387840670859,0.4427480916030534,0.7346351042379998,0.399895178197065,0.4812030075187969,0.725373053972253,0.0403563941299791,0.038454915915743515,-0.00926205026574678
random_forest,L1_vs_L1_L2,L1,L1_L2,fold_5,0.5187830687830688,0.4869565217391304,0.6935785873766687,0.5296296296296296,0.4770642201834862,0.692639049845923,0.010846560846560771,-0.00989230155564419,-0.0009395375307457154
random_forest,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_1,0.5686918445539135,0.5263157894736842,0.6859371744124574,0.5032840722495895,0.4873949579831932,0.6973195356921332,-0.06540777230432404,-0.03892083149049097,0.011382361279675846
random_forest,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_2,0.5661136249371542,0.5116279069767442,0.6999063815818116,0.5666163901458019,0.5271317829457365,0.6973603539811155,0.0005027652086476708,0.015503875968992276,-0.0025460276006961102
random_forest,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_3,0.5710875331564986,0.4727272727272727,0.6855784856540177,0.553315649867374,0.5132743362831859,0.6886606131440708,-0.0177718832891246,0.04054706355591314,0.0030821274900530993
random_forest,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_4,0.399895178197065,0.4812030075187969,0.725373053972253,0.3802410901467505,0.4511278195488721,0.7234011481687642,-0.01965408805031449,-0.03007518796992481,-0.001971905803488827
random_forest,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_5,0.5296296296296296,0.4770642201834862,0.692639049845923,0.5224867724867726,0.5046728971962616,0.6975396999234101,-0.0071428571428570065,0.027608677012775418,0.00490065007748719
random_forest,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_1,0.5669129720853858,0.4807692307692308,0.6896730231220235,0.5032840722495895,0.4873949579831932,0.6973195356921332,-0.06362889983579634,0.006625727213962429,0.007646512570109731
random_forest,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_2,0.511563599798894,0.4324324324324324,0.6945441983919409,0.5666163901458019,0.5271317829457365,0.6973603539811155,0.05505279034690791,0.09469935051330408,0.002816155589174585
random_forest,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_3,0.4759946949602122,0.4273504273504273,0.7033515017193858,0.553315649867374,0.5132743362831859,0.6886606131440708,0.07732095490716184,0.08592390893275859,-0.014690888575314975
random_forest,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_4,0.3595387840670859,0.4427480916030534,0.7346351042379998,0.3802410901467505,0.4511278195488721,0.7234011481687642,0.020702306079664612,0.008379727945818705,-0.011233956069235607
random_forest,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_5,0.5187830687830688,0.4869565217391304,0.6935785873766687,0.5224867724867726,0.5046728971962616,0.6975396999234101,0.0037037037037037646,0.017716375457131228,0.003961112546741474
xgboost,L1_vs_L1_L2,L1,L1_L2,fold_1,0.5247673782156541,0.4705882352941176,0.8344999532426995,0.5467980295566502,0.4672897196261682,0.8382214272658984,0.022030651340996132,-0.0032985156679493643,0.0037214740231988896
xgboost,L1_vs_L1_L2,L1,L1_L2,fold_2,0.5098039215686274,0.4655172413793103,0.8255956609851148,0.596279537456008,0.556390977443609,0.8260825245801734,0.08647561588738062,0.09087373606429872,0.000486863595058562
xgboost,L1_vs_L1_L2,L1,L1_L2,fold_3,0.446551724137931,0.4354838709677419,0.8310225535500605,0.559946949602122,0.5528455284552846,0.7574496257556858,0.11339522546419101,0.11736165748754268,-0.07357292779437474
xgboost,L1_vs_L1_L2,L1,L1_L2,fold_4,0.387185534591195,0.4492753623188406,0.8772891283727078,0.4082809224318658,0.5675675675675675,0.8902372800032543,0.02109538784067083,0.11829220524872697,0.012948151630546523
xgboost,L1_vs_L1_L2,L1,L1_L2,fold_5,0.5706349206349206,0.5409836065573771,0.7210657490529094,0.5404761904761904,0.4778761061946903,0.7476712911450356,-0.030158730158730163,-0.06310750036268681,0.026605542092126178
xgboost,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_1,0.5467980295566502,0.4672897196261682,0.8382214272658984,0.4677066228790367,0.4310344827586206,0.8581986670654926,-0.07909140667761355,-0.03625523686754761,0.019977239799594204
xgboost,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_2,0.596279537456008,0.556390977443609,0.8260825245801734,0.5945198592257416,0.5714285714285714,0.8245233420447734,-0.0017596782302664593,0.015037593984962405,-0.0015591825353999944
xgboost,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_3,0.559946949602122,0.5528455284552846,0.7574496257556858,0.5503978779840849,0.5263157894736842,0.76916652497016,-0.009549071618037086,-0.02652973898160038,0.011716899214474275
xgboost,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_4,0.4082809224318658,0.5675675675675675,0.8902372800032543,0.414308176100629,0.5179856115107914,0.9030174497401554,0.006027253668763166,-0.04958195605677618,0.012780169736901104
xgboost,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_5,0.5404761904761904,0.4778761061946903,0.7476712911450356,0.482010582010582,0.4144144144144144,0.8256105191683751,-0.05846560846560844,-0.06346169178027589,0.07793922802333952
xgboost,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_1,0.5247673782156541,0.4705882352941176,0.8344999532426995,0.4677066228790367,0.4310344827586206,0.8581986670654926,-0.05706075533661742,-0.03955375253549698,0.023698713822793094
xgboost,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_2,0.5098039215686274,0.4655172413793103,0.8255956609851148,0.5945198592257416,0.5714285714285714,0.8245233420447734,0.08471593765711416,0.10591133004926112,-0.0010723189403414324
xgboost,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_3,0.446551724137931,0.4354838709677419,0.8310225535500605,0.5503978779840849,0.5263157894736842,0.76916652497016,0.10384615384615392,0.0908319185059423,-0.06185602857990047
xgboost,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_4,0.387185534591195,0.4492753623188406,0.8772891283727078,0.414308176100629,0.5179856115107914,0.9030174497401554,0.027122641509433998,0.06871024919195079,0.025728321367447626
xgboost,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_5,0.5706349206349206,0.5409836065573771,0.7210657490529094,0.482010582010582,0.4144144144144144,0.8256105191683751,-0.0886243386243386,-0.1265691921429627,0.1045447701154657
