feature,feature_decile,row_count,feature_value_min,feature_value_max,mean_feature_value,actual_positive_rate,mean_pred_prob,mean_excess_forward_return
realized_vol_21d,9,14,0.01706852230150132,0.021153895041855865,0.0189792668644557,0.42857142857142855,0.5223965644836426,-0.007250892388076609
realized_vol_21d,10,14,0.02130156581867929,0.04754854470190992,0.027498185049854833,0.5,0.4987211227416992,-0.0028491037886428064
rel_return_10d,1,14,-0.126347672823497,-0.03415410044491699,-0.06799772502897482,0.7142857142857143,0.5958477854728699,0.011329746591791331
rel_return_10d,2,14,-0.0306035744032041,-0.021506980094223485,-0.02499731488300677,0.35714285714285715,0.5100101232528687,-0.0034955566572871135
rel_return_10d,3,13,-0.020636078776781364,-0.006972049000423788,-0.012478523788166116,0.46153846153846156,0.4805487096309662,-0.00854194413884382
rel_return_10d,4,14,-0.006947515019680453,0.002333270113360153,-0.0028041473092375317,0.42857142857142855,0.4461362957954407,0.0035418922574290703
rel_return_10d,5,14,0.005138506442943464,0.013796061759249537,0.00879339910142499,0.42857142857142855,0.43316832184791565,0.003907777358084571
rel_return_10d,6,13,0.013870926995151106,0.01878339094336444,0.016715217541388622,0.3076923076923077,0.595730721950531,-0.006001159662756665
rel_return_10d,7,14,0.019480459899341693,0.030565563133776244,0.025979189358018986,0.5,0.527696430683136,-0.00259305596648455
rel_return_10d,8,13,0.03133243719522896,0.041933874629453916,0.03591508893073674,0.46153846153846156,0.5360776782035828,-0.0028659597838899776
rel_return_10d,9,14,0.04293799112561176,0.0562596124140745,0.04822675706136926,0.7142857142857143,0.4596436023712158,0.0032320063983552545
rel_return_10d,10,14,0.05939881863655523,0.12028423843374031,0.07525348441443773,0.5714285714285714,0.5587542653083801,0.004256601099161237
rel_return_5d,1,14,-0.10078084106045752,-0.02800433188491798,-0.05084129742619653,0.5,0.5150325894355774,0.002113554588385162
rel_return_5d,2,14,-0.02712954868648962,-0.01231990997773312,-0.01841312968901476,0.5714285714285714,0.49568289518356323,-0.001157208854492742
rel_return_5d,3,13,-0.011634466522527517,-0.003860000773961015,-0.00836110601973711,0.38461538461538464,0.4840775728225708,-0.0005297086316639267
rel_return_5d,4,14,-0.003330925230379326,0.0008950809167534227,-0.0014031771863260557,0.5,0.4978099763393402,-0.003267304071453315
rel_return_5d,5,14,0.0010482619453555829,0.008098333975114643,0.005322324945103364,0.5,0.4846518635749817,-0.0013415331974395304
rel_return_5d,6,13,0.008126365464408848,0.012653810969626943,0.011097786372768977,0.6153846153846154,0.6036986112594604,0.010038158582888871
rel_return_5d,7,14,0.012865692412707394,0.017578247395651326,0.015002972757461153,0.42857142857142855,0.5198413133621216,0.0005782784858801083
rel_return_5d,8,13,0.018427505307825134,0.030679055880699736,0.02390015453955452,0.38461538461538464,0.5095843076705933,0.001828206327467576
rel_return_5d,9,14,0.031087829101840443,0.04763392992231763,0.039005307177101003,0.5,0.5605374574661255,-0.001596843607093788
rel_return_5d,10,14,0.04826030642268486,0.103585361544399,0.0667634045149689,0.5714285714285714,0.4716261923313141,-0.0018419864223345743
sec_positive_prob,1,14,0.03731869161128998,0.05293361097574234,0.046637825667858124,0.5714285714285714,0.5215995907783508,0.006228635385604632
sec_positive_prob,2,14,0.05313338711857796,0.06017083674669266,0.05694575235247612,0.35714285714285715,0.6050489544868469,-0.011697037673234973
sec_positive_prob,3,13,0.061983443796634674,0.06896557658910751,0.06593963274588951,0.46153846153846156,0.4130159616470337,0.0009734684660131258
sec_positive_prob,4,14,0.07033288478851318,0.07657819986343384,0.07379310205578804,0.2857142857142857,0.4254145622253418,-0.013743053609149788
sec_positive_prob,5,14,0.07783231139183044,0.08314623683691025,0.08067084210259574,0.6428571428571429,0.5203238129615784,0.007944896847729801
sec_positive_prob,6,13,0.08450312167406082,0.0943332388997078,0.08919759094715118,0.38461538461538464,0.5064834952354431,-0.007947269809454188
sec_positive_prob,7,14,0.09449872374534607,0.10303982347249985,0.09836640315396446,0.5714285714285714,0.5405420064926147,0.011142929342972435
sec_positive_prob,8,13,0.10339716076850891,0.11558938026428223,0.1105522158054205,0.5384615384615384,0.4825614392757416,0.008483791705433102
sec_positive_prob,9,14,0.11694283783435822,0.14035046100616455,0.12624065152236394,0.5,0.5014141798019409,-0.004650763738969324
sec_positive_prob,10,14,0.1404091715812683,0.21700863301753992,0.17236757316759652,0.6428571428571429,0.6121888756752014,0.0073861115748632645
vol_ratio_21d_63d,1,14,0.4275576790188418,0.7205183500857366,0.6132126588872758,0.2857142857142857,0.40751075744628906,-0.003915921988173637
