Company Name,Exchange:Ticker,Ticker,Company Type,Primary Exchange,Secondary Listings,Geographic Locations,Market Cap USDmm Latest,Security Tickers,Primary Sector,Industry Classifications,Headquarters Country/Region,CIK,Equity Currency
"Tyson Foods, Inc.",NYSE:TSN,TSN,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22966.1,NYSE:TSN; WBAG:TSN; BIT:1TSN; BMV:TSN *; BOVESPA:TSNF34; DB:TF7A; LSE:0LHR,Consumer Staples,"Beef Cattle (Primary); Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Chicken (Primary); Consumer Staples (Primary); Desserts and Dessert Toppings (Primary); Ethnic Foods (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Foods (Primary); Hogs (Primary); Livestock And Animal Specialties (Primary); Meat Processing (Primary); Meat Products (Primary); Meat Slaughtering (Primary); Meats, Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Poultry Processing (Primary); Prepared and Preserved Foods (Primary); Prepared Soups and Stews (Primary); Processed Cold Cuts (Primary); Sandwiches and Filled Rolls (Primary); Sauces And Salad Dressings (Primary); Sausage and Hot Dogs (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Specialty Meat Products (Primary); Tortillas (Primary); Turkey (Primary)",United States,0000100493,US Dollar
"Brown & Brown, Inc.",NYSE:BRO,BRO,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22937.2,NYSE:BRO; BIT:1BRO; BMV:BRO *; DB:BTW; LSE:0ADT,Financials,Claim Adjusters (Primary); Claim Processors (Primary); Financials (Primary); Insurance (Primary); Insurance (Primary); Insurance Brokers (Primary); Accident Insurance; Casualty; Commercial Property Insurance; Dental Insurance Plans; Disability Insurance; Fire and Marine Insurance; Health and Medical Insurance; Homeowner's and Renter's Insurance; Hospital and Medical Service Plans; Liability Insurance; Life and Health Insurance; Life Insurance; Motor Vehicle Insurance; Personal Property Insurance; Property; Property and Casualty Insurance; Worker's Compensation Insurance,United States,0000079282,US Dollar
"Williams-Sonoma, Inc.",NYSE:WSM,WSM,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22897.5,NYSE:WSM; BIT:1WSM; BMV:WSM *; DB:WM1; LSE:0LXC,Consumer Discretionary,"Catalog Home Furnishing Retail (Primary); Catalog Housewares Retail (Primary); Catalog Linen and Bedding Accessories Retail (Primary); Consumer Discretionary (Primary); Consumer Discretionary Distribution and Retail (Primary); Homefurnishing Retail (Primary); Housewares Stores (Primary); Online Home Furnishing Retail (Primary); Online Housewares Retail (Primary); Online Linen and Bedding Accessories Retail (Primary); Specialty Retail (Primary); Accessory Stores; Apparel Retail; Catalog Apparel and Accessory Retail; Catalog Appliance Retail; Catalog Building Product and Home Supply Retail; Catalog Flowers, Gifts and Novelties; Catalog Specialty Retail; Communication Services; Home Improvement Retail; Interactive Media and Services; Interactive Media and Services; Media and Entertainment; Online Apparel and Accessory Retail; Online Appliance Retail; Online Building Product and Home Supply Retail; Online Flowers, Gifts and Novelties; Online Services; Online Specialty Retail; Other Specialty Retail",United States,0000719955,US Dollar
"First Citizens BancShares, Inc.",NasdaqGS:FCNC.A,FCNC.A,Public Company,Nasdaq Global Select (NasdaqGS),"NasdaqGS:FCNC.P
Company: First Citizens BancShares, Inc.
(IQT657568310) - Nasdaq Global Select (NasdaqGS)",United States of America (Primary),22769.4,NasdaqGS:FCNC.A; OTCPK:FCNC.B; NasdaqGS:FCNC.P; DB:FC6A,Financials,Banks (Primary); Banks (Primary); Diversified Banks (Primary); Diversified Commercial Banks (Primary); Financials (Primary); Asset Management and Custody Banks; Capital Goods; Capital Markets; Financial Services; Financial Services; Holding Companies; Industrials; Insurance; Insurance; Insurance Brokers; Investment Advice; Investment Banking; Investment Banking and Brokerage; Investment Services and Holding Companies; Machinery Rental and Leasing; Multi-Sector Holdings; Offices Of Bank Holding Companies; Securities and Commodities Markets Services; Security Underwriting Services; Trading Companies and Distributors; Trading Companies and Distributors,United States,0000798941,US Dollar
Albemarle Corporation,NYSE:ALB,ALB,Public Company,New York Stock Exchange (NYSE),"NYSE:ALB.PRA
Company: Albemarle Corporation
(IQT1873879410) - New York Stock Exchange (NYSE)",United States of America (Primary),22768.7,NYSE:ALB; SWX:ALB; WBAG:ALBE; XTRA:AMC; NYSE:ALB.PRA; BIT:1ALB; BMV:ALB *; BOVESPA:A1LB34; DB:AMC; DB:AMC0; LSE:0HC7,Materials,"Chemicals (Primary); Materials (Primary); Materials (Primary); Specialty Chemicals (Primary); Commercial and Professional Services; Commercial Services and Supplies; Commodity Chemicals; Environmental and Facilities Services; Hazardous Waste Collection, Treatment and Disposal Services; Health Care; Industrial Inorganic Chemicals; Industrials; Medicinal Chemicals and Botanical Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals, Biotechnology and Life Sciences; Recycling Facilities; Sanitary Services",United States,0000915913,US Dollar
"Entegris, Inc.",NasdaqGS:ENTG,ENTG,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),22705.5,NasdaqGS:ENTG; BIT:1ENTG; BMV:ENTG *; BOVESPA:E2NT34; DB:ENQ,Information Technology,Back-End Equipment (Primary); Front-End Equipment (Primary); Information Technology (Primary); Semiconductor Manufacturing Machinery (Primary); Semiconductor Materials and Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Chemicals; Materials; Materials; Specialty Chemicals,United States,0001101302,US Dollar
Ralph Lauren Corporation,NYSE:RL,RL,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22467.5,NYSE:RL; BIT:1RLA; BMV:RL *; BOVESPA:R1LC34; DB:PRL; LSE:0KTS,Consumer Discretionary,"Accessories (Primary); Apparel (Primary); Apparel, Accessories and Luxury Goods (Primary); Belts and Suspenders (Primary); Boys' Apparel (Primary); Consumer Discretionary (Primary); Consumer Durables and Apparel (Primary); Fine Jewelry (Primary); Girls' Apparel (Primary); Gloves (Primary); Hats, Caps, and Millinery (Primary); Jewelry (Primary); Jewelry, Timepieces and Gemstone Products (Primary); Leather Belts (Primary); Luggage (Primary); Luggage and Handbags (Primary); Men's Apparel (Primary); Purses, Handbags and Bags (Primary); Scarves (Primary); Textiles, Apparel and Luxury Goods (Primary); Timepieces (Primary); Umbrellas and Waterproof Accessories (Primary); Watches (Primary); Women's Handbags and Purses (Primary); Women's, Misses', and Juniors' Apparel (Primary); Apparel Retail; Beauty Care Products; Cafeterias; Consumer Discretionary Distribution and Retail; Consumer Services; Consumer Staples; Financial Services; Financial Services; Financials; Footwear; Home Furnishings; Homefurnishing Retail; Hotels, Restaurants and Leisure; Household and Personal Products; Household Durables; Investment Services and Holding Companies; Limited Service Restaurants; Multi-Sector Holdings; Online Accessory Retail; Online Apparel and Accessory Retail; Online Apparel Retail; Online Home Furnishing Retail; Online Jewelry Retail; Online Luggage and Leather Goods Retail; Online Personal Care Product Retail; Online Shoe Retail; Online Specialty Retail; Other Specialty Retail; Patent Owners and Lessors; Perfumes and Colognes; Personal Care Products; Personal Care Products; Restaurants; Specialty Retail",United States,0001037038,US Dollar
"Church & Dwight Co., Inc.",NYSE:CHD,CHD,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22403.6,NYSE:CHD; WBAG:CHD; XTRA:CXU; BIT:1CHD; BMV:CHD *; BOVESPA:CHDC34; DB:CXU; LSE:0R13,Consumer Staples,"Animal Care Products (Primary); Cat Litter (Primary); Cleaning Products (Primary); Consumer Staples (Primary); Household and Personal Products (Primary); Household Products (Primary); Household Products (Primary); Laundry Products (Primary); Soaps (Primary); Baking Mixes and Supplies; Beauty Care Products; Bread and Bakery Products; Chemicals; Condoms; Dental Care Products; Deodorants and Antiperspirants; Family Planning Products; Feminine Care Products; Food Products; Food, Beverage and Tobacco; Hair Care Products; Health Care; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Materials; Materials; Medical Testing, Analyzing, and Diagnostic Equipment; Packaged Foods and Meats; Personal Care Products; Personal Care Products; Pregnancy Test Kits; Skin Care Products; Specialty Chemicals; Vitamins and Nutritional Supplements",United States,0000313927,US Dollar
"West Pharmaceutical Services, Inc.",NYSE:WST,WST,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22323.7,NYSE:WST; BIT:1WST; BMV:WST *; BOVESPA:W2ST34; DB:WPS; LSE:0ADY,Health Care,"Health Care (Primary); Life Sciences Tools and Services (Primary); Life Sciences Tools and Services (Primary); Pharmaceuticals, Biotechnology and Life Sciences (Primary); Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Supplies; Medical Consumables; Medical Instruments",United States,0000105770,US Dollar
Quest Diagnostics Incorporated,NYSE:DGX,DGX,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),22087.3,NYSE:DGX; BIT:1QDX; BMV:DGX *; BOVESPA:Q1UE34; DB:QDI; LSE:0KSX,Health Care,Health Care (Primary); Health Care Equipment and Services (Primary); Health Care Providers and Services (Primary); Health Care Services (Primary); Medical Laboratory Services (Primary); Commercial and Professional Services; Commercial Services and Supplies; General Management Services; Health Care Technology; Health Care Technology; Industrials; Office Services and Supplies; Risk Management Services,United States,0001022079; 0001026673; 0001026674; 0001026675; 0001026676; 0001264366,US Dollar
Royalty Pharma plc,NasdaqGS:RPRX,RPRX,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),22059.0,NasdaqGS:RPRX; BMV:RPRX N; DB:RPD; MUN:RPD,Health Care,"Health Care (Primary); Pharmaceutical Products (Primary); Pharmaceuticals (Primary); Pharmaceuticals (Primary); Pharmaceuticals, Biotechnology and Life Sciences (Primary); Capital Markets; Financial Services; Financial Services; Financials; Investment Services and Holding Companies; Multi-Sector Holdings; Patent Owners and Lessors",United States,0001802768,US Dollar
Formula One Group,NasdaqGS:FWON.K,FWON.K,Public Company,Nasdaq Global Select (NasdaqGS),"NasdaqGS:FWON.A
Company: Formula One Group
(IQT325920330) - Nasdaq Global Select (NasdaqGS)",United States of America (Primary),22023.6,NasdaqGS:FWON.K; OTCPK:FWON.B; NasdaqGS:FWON.A; BIT:1FWON; BMV:FWONK1 *; DB:LM0D; DB:LM0F; LSE:0JUJ,Communication Services,"Communication Services (Primary); Entertainment (Primary); Entertainment Production Companies (Primary); Entertainment Services (Primary); Media and Entertainment (Primary); Movies and Entertainment (Primary); Sports Services (Primary); Television Production Companies (Primary); Air Freight and Logistics; Air Freight and Logistics; Amusement And Recreation Services; Consumer Discretionary; Consumer Services; Hotels, Resorts and Cruise Lines; Hotels, Restaurants and Leisure; Industrials; Information Technology; Interactive Media and Services; Interactive Media and Services; IT Consulting and Other Services; IT Services; Leisure Facilities; Recreation Clubs; Software and Services; Transportation; Travel and Tourism Services",United States,-,US Dollar
