ticker,company_name,exchange,country,sector,industry_classifications,market_cap_usd_mm,cik
PM,Philip Morris International Inc.,NYSE,United States,Consumer Staples,"Cigarettes (Primary); Consumer Staples (Primary); Food, Beverage and Tobacco (Primary); Tobacco (Primary); Tobacco (Primary); Consumer Discretionary; Consumer Durables and Apparel; Consumer Electronics; Health Care; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Supplies; Household Durables",255915.4,0001413329
SYY,Sysco Corporation,NYSE,United States,Consumer Staples,Beverage Distribution (Primary); Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Food Distribution (Primary); Food Distributors (Primary); Groceries and Related Product Distribution (Primary); Capital Goods; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Distributors; Distributors; Durable Goods Distribution; Household Durables Distribution; Industrials; Paper and Forest Product Distribution; Trading Companies and Distributors; Trading Companies and Distributors,36609.3,0000096021
TGT,Target Corporation,NYSE,United States,Consumer Staples,"Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Apparel Retail; Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Food Retail; General Merchandise Stores; Hobbies, Games and Toy Stores; Home Improvement Retail; Jewelry Stores; Leisure Equipment Stores; Online Accessory Retail; Online Apparel and Accessory Retail; Online Apparel Retail; Online Appliance Retail; Online Beauty Care Product Retail; Online Broadline Retail; Online Food Retail; Online General Merchandise Retail; Online Greeting Card Retail; Online Hobbies, Games and Toy Retail; Online Jewelry Retail; Online Leisure Equipment Retail; Online Office Furnishings and Equipment Retail; Online Paper Product Retail; Online Personal Care Product Retail; Online Shoe Retail; Online Specialty Retail; Online Sporting and Recreational Good Retail; Other Specialty Retail; Specialty Retail",58536.1,0000027419
CPB,The Campbell's Company,NasdaqGS,United States,Consumer Staples,"Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Consumer Staples (Primary); Cookies (Primary); Cookies And Cracker (Primary); Crackers (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Foods (Primary); Meats, Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Pasta (Primary); Potato and Corn Chips (Primary); Poultry And Poultry Products (Primary); Prepared and Preserved Foods (Primary); Prepared Soups and Stews (Primary); Pretzels (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Beverage Retail; Beverages; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Retail; Juices; Online Beverage Retail; Online Food Retail; Soft Drinks and Non-alcoholic Beverages",6147.8,0000016732
CLX,The Clorox Company,NYSE,United States,Consumer Staples,"Animal Care Products (Primary); Cat Litter (Primary); Cleaning Products (Primary); Cleaning Rags, Cloths, and Wipes (Primary); Consumer Staples (Primary); Household and Personal Products (Primary); Household Disinfectants (Primary); Household Products (Primary); Household Products (Primary); Laundry Products (Primary); Consumer Discretionary; Consumer Durables and Apparel; Containers and Packaging; Food Products; Food, Beverage and Tobacco; Health Care; Household Appliances; Household Durables; Materials; Materials; Metal, Glass and Plastic Containers; Packaged Foods and Meats; Personal Care Products; Personal Care Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals, Biotechnology and Life Sciences; Plastic Bags; Plastic Packaging; Sauces And Salad Dressings; Seasonings and Preservatives; Water Appliances; Water Treatment Appliances",11931.6,0000021076
KO,The Coca-Cola Company,NYSE,United States,Consumer Staples,"Beverages (Primary); Bottled Water (Primary); Consumer Staples (Primary); Drink Mixes (Primary); Flavoring Syrup And Concentrate (Primary); Food, Beverage and Tobacco (Primary); Juices (Primary); Non-Carbonated Drinks (Primary); Soda and other Carbonated Drinks (Primary); Soft Drinks and Non-alcoholic Beverages (Primary); Coffee; Coffee And Tea; Food Products; Packaged Foods and Meats; Tea",329827.2,0000021344
EL,The Estée Lauder Companies Inc.,NYSE,United States,Consumer Staples,Beauty Care Products (Primary); Consumer Staples (Primary); Cosmetics (Primary); Hair Care Products (Primary); Household and Personal Products (Primary); Perfumes and Colognes (Primary); Personal Care Products (Primary); Personal Care Products (Primary); Skin Care Products (Primary); Consumer Discretionary; Consumer Discretionary Distribution and Retail; Financial Services; Financial Services; Financials; Investment Services and Holding Companies; Multi-Sector Holdings; Online Personal Care Product Retail; Online Specialty Retail; Other Specialty Retail; Patent Owners and Lessors; Personal Care Product Stores; Specialty Retail,28149.6,0001001250
HSY,The Hershey Company,NYSE,United States,Consumer Staples,"Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Candy (Primary); Chewing Gum (Primary); Chocolate And Cocoa Products (Primary); Confectionery Products (Primary); Consumer Staples (Primary); Desserts and Dessert Toppings (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Mints (Primary); Packaged Foods and Meats (Primary); Popcorn (Primary); Prepared and Preserved Foods (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Spreads (Primary); Sweeteners (Primary); Syrup (Primary); Beverages; Soft Drinks and Non-alcoholic Beverages",38811.3,0000047111
SJM,The J. M. Smucker Company,NYSE,United States,Consumer Staples,"Animal Feed (Primary); Baking Mixes and Supplies (Primary); Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Cat Food (Primary); Coffee (Primary); Coffee And Tea (Primary); Consumer Staples (Primary); Cookies (Primary); Cookies And Cracker (Primary); Desserts and Dessert Toppings (Primary); Dog Food (Primary); Flour (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Bakery Products (Primary); Frozen Foods (Primary); Grain Mill Products (Primary); Packaged Foods and Meats (Primary); Peanut Butter (Primary); Prepared and Preserved Foods (Primary); Preserves, Jams, Jellies and Nut Spreads (Primary); Sandwiches and Filled Rolls (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Spreads (Primary); Sweeteners (Primary); Syrup (Primary); Beverages; Soft Drinks and Non-alcoholic Beverages",10245.7,0000091419
KHC,The Kraft Heinz Company,NasdaqGS,United States,Consumer Staples,"Cheese (Primary); Coffee (Primary); Coffee And Tea (Primary); Consumer Staples (Primary); Dairy Products (Primary); Dairy Products and Eggs (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Herbs, Spices and Extracts (Primary); Meats, Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Prepared and Preserved Foods (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Beverages; Non-Carbonated Drinks; Soft Drinks and Non-alcoholic Beverages",26015.6,0001637459; 0001600508
KR,The Kroger Co.,NYSE,United States,Consumer Staples,"Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Food Retail (Primary); Full Stock Supermarkets (Primary); Grocery Stores (Primary); Online Food Retail (Primary); Online Grocery Retail (Primary); Apparel Retail; Automotive Retail; Broadline Retail; Broadline Retail; Computer and Electronics Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Staples Merchandise Retail; Department Stores; Drug Retail; Drug Stores and Pharmacies; Food Products; Food, Beverage and Tobacco; Gasoline Service Stations; Homefurnishing Retail; Oil and Gas Retail; Online Apparel and Accessory Retail; Online Apparel Retail; Online Beauty Care Product Retail; Online Consumer Electronics Retail; Online Drug Retail and Pharmacies; Online Healthcare and Medical Supply Retail; Online Hobbies, Games and Toy Retail; Online Home Furnishing Retail; Online Leisure Equipment Retail; Online Motor Vehicle Parts and Accessories Retail; Online Personal Care Product Retail; Online Pet Care Product Retail; Online Specialty Retail; Other Specialty Retail; Packaged Foods and Meats; Specialty Retail; Warehouse Clubs",41186.7,0000056873
PG,The Procter & Gamble Company,NYSE,United States,Consumer Staples,"Air Fresheners (Primary); Cleaning Products (Primary); Consumer Staples (Primary); Dishwashing Detergents (Primary); Household and Personal Products (Primary); Household Paper Products (Primary); Household Products (Primary); Household Products (Primary); Laundry Products (Primary); Paper Towels (Primary); Toilet Tissue (Primary); Baby Care Products; Beauty Care Products; Consumer Discretionary; Consumer Durables and Apparel; Dental Care Products; Deodorants and Antiperspirants; Diapers; Electric Razors and Hair Trimmers; Feminine Care Products; Gastrointestinal Drugs; Hair Care Products; Health Care; Household Appliances; Household Durables; Industrial Service Paper; Materials; Materials; Paper and Forest Products; Paper Products; Personal Appliances; Personal Care Products; Personal Care Products; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals, Biotechnology and Life Sciences; Respiratory Drugs; Shaving Products; Skin Care Products; Tissue Paper; Vitamins and Nutritional Supplements",344370.4,0000080424
TSN,"Tyson Foods, Inc.",NYSE,United States,Consumer Staples,"Beef Cattle (Primary); Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Chicken (Primary); Consumer Staples (Primary); Desserts and Dessert Toppings (Primary); Ethnic Foods (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Foods (Primary); Hogs (Primary); Livestock And Animal Specialties (Primary); Meat Processing (Primary); Meat Products (Primary); Meat Slaughtering (Primary); Meats, Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Poultry Processing (Primary); Prepared and Preserved Foods (Primary); Prepared Soups and Stews (Primary); Processed Cold Cuts (Primary); Sandwiches and Filled Rolls (Primary); Sauces And Salad Dressings (Primary); Sausage and Hot Dogs (Primary); Seasonings and Preservatives (Primary); Snack Food (Primary); Specialty Meat Products (Primary); Tortillas (Primary); Turkey (Primary)",22543.6,0000100493
WMT,Walmart Inc.,NasdaqGS,United States,Consumer Staples,Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Hypermarkets and Super Centers (Primary); Warehouse Clubs (Primary); Apparel Retail; Automotive Retail; Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Finance; Consumer Finance; Convenience Stores; Discount Stores; Drug Retail; Drug Stores and Pharmacies; Financial Services; Financials; Food Retail; Full Stock Supermarkets; Funds Transfer and Exchange Services; Gasoline Service Stations; General Merchandise Stores; Grocery Stores; Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Services; Leisure Equipment Stores; Medical Doctor Specialist Services; Oil and Gas Retail; Online Broadline Retail; Online Drug Retail and Pharmacies; Online Food Retail; Online General Merchandise Retail; Online Grocery Retail; Online Musical Instrument Retail; Online Specialty Retail; Ophthalmology Services; Other Specialty Retail; Personal Credit Agencies; Specialty Retail,1035591.1,0000104169
